id,name,lat,lon,category,subcategory,neighborhood,address,summary,price_range,kid_friendly,visited,rating,website,google_maps_url,tags,notes
blue-plaque-jim-henson,Blue Plaque: Jim Henson,,,historic-sites,memorial,,,,,,,,,,source:Great Muppet Caper,Google rating: 5.0/5 (3 reviews)
17-holland-park,17 Holland Park,,,attractions,landmark,,London W11 3TD United Kingdom,,,,,,,,source:Great Muppet Caper,
134-westbourne-terrace,134 Westbourne Terrace,,,attractions,landmark,,London United Kingdom,,,,,,,,source:Great Muppet Caper,
knebworth-house,Knebworth House,,,attractions,landmark,,,,,,,,,,source:Great Muppet Caper,"Google rating: 4.5/5 (3,765 reviews)"
admiral-s-walk,Admiral's Walk,,,attractions,landmark,,,,,,,,,,source:Great Muppet Caper,
maison-bertaux,Maison Bertaux,,,restaurants,bakery,,,,$$,,,,,,source:Great Muppet Caper,"Google rating: 4.3/5 (2,881 reviews)"
sherlock-holmes,Sherlock Holmes,,,restaurants,pub,,,,$$,,,,,,source:Great Muppet Caper,"Google rating: 4.2/5 (9,350 reviews)"
the-king-s-head-aylesbury,"The King's Head, Aylesbury",,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (1,024 reviews)"
the-royal-standard-of-england,The Royal Standard of England,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (2,917 reviews)"
mon-plaisir,Mon Plaisir,,,restaurants,restaurant,,,,$$,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.2/5 (636 reviews)
le-beaujolais,Le Beaujolais,,,restaurants,wine-bar,,,,$$,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.7/5 (888 reviews)
the-flask-highgate,"The Flask, Highgate",,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.4/5 (2,108 reviews)"
jamaica-wine-house,Jamaica Wine House,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.3/5 (1,196 reviews)"
kappacasein-dairy,Kappacasein Dairy,,,restaurants,market,,,,,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.6/5 (590 reviews)
national-memorial-arboretum-alrewas-staffordshire,"National Memorial Arboretum (Alrewas, Staffordshire)",,,historic-sites,memorial,,,,,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.9/5 (13,859 reviews)"
the-mayflower-pub,The Mayflower Pub,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.7/5 (5,629 reviews)"
punjab-restaurant,Punjab Restaurant,,,restaurants,restaurant,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.3/5 (4,098 reviews)"
m-manze-tower-bridge,M.Manze Tower Bridge,,,restaurants,restaurant,,,,$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.6/5 (1,951 reviews)"
battery-steele,Battery Steele,,,historic-sites,memorial,,,,,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.6/5 (322 reviews)
bentley-s-oyster-bar-grill,Bentley's Oyster Bar & Grill,,,restaurants,restaurant,,,,$$$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (2,015 reviews)"
the-seven-stars,The Seven Stars,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (1,236 reviews)"
the-blackfriar,The Blackfriar,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (7,048 reviews)"
rock-and-sole-plaice,Rock and Sole Plaice,,,attractions,landmark,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.3/5 (5,319 reviews)"
ye-olde-mitre-holborn,"Ye Olde Mitre, Holborn",,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.7/5 (3,164 reviews)"
the-star-tavern-belgravia,"The Star Tavern, Belgravia",,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (1,279 reviews)"
the-dove-hammersmith,"The Dove, Hammersmith",,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (2,940 reviews)"
george,George,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.3/5 (7,191 reviews)"
ye-olde-cheshire-cheese,Ye Olde Cheshire Cheese,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.4/5 (6,943 reviews)"
the-old-bell-tavern,The Old Bell Tavern,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (1,564 reviews)"
the-lamb-flag-covent-garden,"The Lamb & Flag, Covent Garden",,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (5,037 reviews)"
the-hoop-and-grapes,The Hoop and Grapes,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.6/5 (3,973 reviews)"
the-spaniards-inn,The Spaniards Inn,,,restaurants,pub,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (6,462 reviews)"
guinea-grill,Guinea Grill,,,restaurants,pub,,,,$$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.6/5 (2,322 reviews)"
scott-s,Scott's,,,restaurants,restaurant,,,,$$$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.6/5 (2,888 reviews)"
j-sheekey,J Sheekey,,,restaurants,restaurant,,,,$$$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.5/5 (2,581 reviews)"
maggie-jones-s-restaurant,Maggie Jones's Restaurant,,,restaurants,restaurant,,,,$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.6/5 (1,528 reviews)"
simpson-s-tavern,Simpson's Tavern,,,attractions,landmark,,,,,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.5/5 (346 reviews)
veeraswamy,Veeraswamy,,,restaurants,restaurant,,,,$$$$,,,,,,source:London Historic Restaurants and Pubs,"Google rating: 4.3/5 (2,269 reviews)"
simpson-s-in-the-strand,Simpson's in the Strand,,,restaurants,restaurant,,,,$$$,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.6/5 (842 reviews)
wiltons-restaurant,Wiltons Restaurant,,,restaurants,restaurant,,,,$$$$,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.7/5 (762 reviews)
sweetings,Sweetings,,,restaurants,restaurant,,,,$$$,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.5/5 (315 reviews)
george-and-vulture,George and Vulture,,,restaurants,restaurant,,,,,,,,,,source:London Historic Restaurants and Pubs,Google rating: 4.4/5 (174 reviews)
the-carlton-tavern,The Carlton Tavern,,,restaurants,pub,,,,$$,,,,,,source:Pubs,Google rating: 4.6/5 (587 reviews)
the-duke-of-hamilton,The Duke of Hamilton,,,restaurants,pub,,,,$$,,,,,,source:Pubs,Google rating: 4.5/5 (706 reviews)
white-cross,White Cross,,,restaurants,pub,,,,$$,,,,,,source:Pubs,"Google rating: 4.3/5 (3,115 reviews)"
mr-fogg-s-tavern,Mr Fogg's Tavern,,,restaurants,cocktail-bar,,,,$$$,,,,,,source:Pubs,"Google rating: 4.5/5 (3,821 reviews)"
the-grazing-goat-pub-boutique-hotel-marylebone,The Grazing Goat Pub & Boutique Hotel Marylebone,,,restaurants,gastropub,,,,$$,,,,,,source:Pubs,"Google rating: 4.4/5 (2,257 reviews)"
the-horniman-at-hays,The Horniman at Hays,,,restaurants,pub,,,,$$,,,,,,source:Pubs,"Google rating: 4.4/5 (9,901 reviews)"
the-churchill-arms-kensington,"The Churchill Arms, Kensington",,,restaurants,pub,,,,$$,,,,,,source:Pubs,"Google rating: 4.5/5 (8,341 reviews)"
the-black-horse,The Black Horse,,,attractions,landmark,,91 Church St Whitby YO22 4BH United Kingdom,,,,,,,,source:Pubs,
the-harp-covent-garden,"The Harp, Covent Garden",,,restaurants,pub,,,,$$,,,,,,source:Pubs,"Google rating: 4.6/5 (3,626 reviews)"
the-blue-posts,The Blue Posts,,,restaurants,pub,,,,$$,,,,,,source:Pubs,Google rating: 4.2/5 (592 reviews)
piwnica-pod-baranami,Piwnica Pod Baranami,,,restaurants,cocktail-bar,,,,,,,,,,source:Pubs,"Google rating: 4.8/5 (4,534 reviews)"
fez,Fez,,,restaurants,pub,,,,$$,,,,,,source:Pubs,Google rating: 4.7/5 (696 reviews)
the-dog-and-duck,The Dog And Duck,,,restaurants,pub,,,,$$,,,,,,source:Pubs,"Google rating: 4.4/5 (1,742 reviews)"
the-black-dog-beer-house,The Black Dog Beer House,,,restaurants,pub,,,,$$,,,,,,source:Pubs,"Google rating: 4.8/5 (1,294 reviews)"
