id,name,lat,lon,category,subcategory,neighborhood,address,summary,price_range,kid_friendly,visited,rating,website,google_maps_url,tags,notes
whitehall-proximity,Whitehall proximity,,,restaurants,pub,,,"best pubs to choose for liaison functions are The Clarence, Old Shades, Walkers, and the Admiralty",,,,,,,,
tattershall-castle-is-also-popular-in-the-summer,Tattershall castle is also popular In the Summer,,,restaurants,pub,,,"it's a pub on a boat on the Thames, nice if the weather is good.",,,,,,,,
champagne-charlles,Champagne Charlles,,,restaurants,restaurant,Whitehall/Charing Cross,,good mid-range choice when you want to take a group but not,,,,,,,,
totally-break-the-bank,totally break the bank,,,restaurants,restaurant,Whitehall/Charing Cross,,,,,,,,,,
the-northall-also-in-corinthia,The Northall (also in Corinthia),,,restaurants,restaurant,Whitehall/Charing Cross,,"also expensive and better for a few people, they have a",,,,,,,,
nice-private-room-for-a-group,nice private room for a group,,,restaurants,restaurant,Whitehall/Charing Cross,,,,,,,,,,
gordon-s-wine-bar,Gordon's Wine Bar,,,restaurants,pub,Whitehall/Charing Cross,,"outside seating, small tables, extensive wine list, charcuterie boards",,,,,,,,
are-the-only-food,are the only food,,,restaurants,restaurant,Whitehall/Charing Cross,,,,,,,,,,
corinthla-also-does-a-very-nice-afternoon-tea-expensive-and-fancy,Corinthla also does a very nice afternoon tea. Expensive and fancy!,,,restaurants,restaurant,Whitehall/Charing Cross,,,,,,,,,,
kerrldge-s,Kerrldge's,,,restaurants,restaurant,Whitehall/Charing Cross,,Kerrldge's (in the Corinthia) elegant steak house vibe. Expensive pricing.,,,,,,,,
smith-and-wollensky,Smith and Wollensky,,,restaurants,restaurant,Whitehall/Charing Cross,,American steakhouse; lots of private rooms so not too hard to,,,,,,,,
book-good-set-menus-for-a-larger-dinner,"book, good set menus for a larger dinner",,,restaurants,pub,Whitehall/Charing Cross,,,,,,,,,,
bancone,Bancone,,,restaurants,restaurant,Whitehall/Charing Cross,,"just off Trafalgar Sq, really tasty pasta, casual, good for a lunch if you're not",,,,,,,,
brasserie-zedel,Brasserie Zedel,,,restaurants,cafe,Whitehall/Charing Cross,,"1920s theme, extensive French wine list, typical French cafe menu",,,,,,,,
wild-honey,Wild Honey,,,restaurants,pub,Whitehall/Charing Cross,,[awarded 1 • in 2022] upscale restaurant. Private room available. The food,,,,,,,,
is-very-good,is very good,,,restaurants,pub,Whitehall/Charing Cross,,-limited seasonal menu. Lunch 3-course is 35 GBP. Dinner and lunch,,,,,,,,
entrees-are-30,entrees are 30,,,restaurants,restaurant,Whitehall/Charing Cross,,40GBP. Tasting menu available for S0GBP/140 with wine. (Service can be,,,,,,,,
slower,slower),,,restaurants,restaurant,Whitehall/Charing Cross,,,,,,,,,,
old-queen-street-cafe,Old Queen Street Cafe,,,restaurants,cafe,Whitehall/Charing Cross,,tucked away on a side street near Churchill War Rooms; large,,,,,,,,
lunch-not-expensive,lunch. Not expensive,,,restaurants,restaurant,Whitehall/Charing Cross,,,,,,,,,,
balthazar,Balthazar,,,restaurants,restaurant,Covent Garden,,"bistro, always buzzing, never taken a group but have done several lunches",,,,,,,,
here-not-too-expensive,"here, not too expensive",,,restaurants,restaurant,Covent Garden,,,,,,,,,,
ivy-market-grill,Ivy Market Grill,,,restaurants,restaurant,Covent Garden,,"good for a group, more affordable than the actual Ivy",,,,,,,,
rules,Rules,,,restaurants,restaurant,Covent Garden,,"oldest restaurant in London and super old school. Expensive, so best for one on",,,,,,,,
one-or-very-small-group-but-a-classic-british-experience,one or very small group ... but a classic British experience,,,restaurants,restaurant,Covent Garden,,,,,,,,,,
nutshell,Nutshell,,,restaurants,restaurant,Covent Garden,,"Persian food, has a good tasting menu for 4Spp",,,,,,,,
the-delauney,The Delauney,,,restaurants,cafe,Covent Garden,,"1920's style brasserie-style restaurant. Serves breakfast, lunch, and",,,,,,,,
table-companions,table companions,,,restaurants,restaurant,Covent Garden,,,,,,,,,,
the-wolseley,The Wolseley,,,restaurants,pub,Piccadilly/Regent Street,,"popular for breakfasts, nice for lunch, haven't done a dinner here.",,,,,,,,
hawksm-r,Hawksm~r,,,restaurants,restaurant,Piccadilly/Regent Street,,"Air St branch off Piccadilly; nice steaks and seafood, but you could run up",,,,,,,,
a-hefty-bill-1f-everyone-orders-the-fancy-steaks-no-private-room-but-can-seat-8,a hefty bill 1f everyone orders the fancy steaks. No private room but can seat 8,,,restaurants,restaurant,Piccadilly/Regent Street,,10 in the,,,,,,,,
main-dining-room,main dining room,,,restaurants,restaurant,Piccadilly/Regent Street,,,,,,,,,,
gaucho-piccadilly,Gaucho Piccadilly,,,restaurants,restaurant,Piccadilly/Regent Street,,"really nice private room, set menus for groups. Argentine steak",,,,,,,,
house,house. •,,,restaurants,restaurant,Piccadilly/Regent Street,,,,,,,,,,
dlshoom,Dlshoom,,,restaurants,restaurant,Piccadilly/Regent Street,,very popular Indian restaurant; branches in carnaby branch and Covent,,,,,,,,
line-so-best-to-plan-ahead-if-you-have-a-group,line so best to plan ahead if you have a group,,,restaurants,restaurant,Piccadilly/Regent Street,,,,,,,,,,
dehesa,Dehesa,,,restaurants,restaurant,Piccadilly/Regent Street,,"Kingly st by carnaby-Spanish/ltalian small plates, private wine cellar seats up",,,,,,,,
to-13-really-nice-set-menu-of-shared-small-plates-for-a-group-lots-of-food,to 13. Really nice set menu of shared small plates for a group. Lots of food,,,restaurants,restaurant,Piccadilly/Regent Street,,,,,,,,,,
fallow,Fallow,,,restaurants,restaurant,Piccadilly/Regent Street,,"amazing food (will be a michelin star kind of restaurant, and is down the street",,,,,,,,
from-heddon-st-kitchen,from Heddon St Kitchen),,,restaurants,restaurant,Piccadilly/Regent Street,,"note, moved to new location as of fall 2021",,,,,,,,
north-of-whitehall-st-james,North of Whitehall/St. James,,,restaurants,restaurant,Piccadilly/Regent Street,,,,,,,,,,
davy-s-wine-bar,Davy's Wine Bar,,,restaurants,wine-bar,Piccadilly/Regent Street,,,,,,,,,,
caxton-grill,Caxton Grill,,,restaurants,pub,Whitehall/St James's Park/Victoria,,"in St Ermin's hotel, nice for lunch or in semi-private space for group dinner",,,,,,,,
vagabond-wine-bar-for-drinks-when-you-re-sick-of-pubs,Vagabond wine bar for drinks when you're sick of pubs,,,restaurants,pub,Whitehall/St James's Park/Victoria,,outdoor space uncovered,,,,,,,,
preto,Preto,,,restaurants,restaurant,Whitehall/St James's Park/Victoria,,brazilian steak house; cheap and a LOT of food,,,,,,,,
flight-club,Flight Club,,,restaurants,wine-bar,Whitehall/St James's Park/Victoria,,"hip bar with darts and games, and a rooftop terrace in the summer",,,,,,,,
in-a-category-all-its-own,In a category all its own,,,restaurants,restaurant,Whitehall/St James's Park/Victoria,,"DUMPLINGS LEGEND, Gerard St",,,,,,,,
goodman-steak-oust-off-regent-street,Goodman Steak Oust off Regent Street) -,,,restaurants,restaurant,Mayfair,,,,,,,,,,
jeru,Jeru,,,restaurants,restaurant,Mayfair,,"Mediterranean. Swanky place, mid-level expensive. Has a semi-private table that",,,,,,,,
will-seat-8-later-at-night-there-s-a-dj-so-beware-that-vibe,"will seat 8. Later at night there's a DJ, so beware that vibe",,,restaurants,restaurant,Mayfair,,,,,,,,,,
emberyard,EmberYard,,,restaurants,restaurant,Mayfair,,,,,,,,,,
dahessa,Dahessa,,,restaurants,restaurant,• Salt Yard (Fitzrovia),,,,,,,,,,
chiltern-firehouse,Chiltern Firehouse,,,restaurants,pub,• Salt Yard (Fitzrovia),,"mostly seafood, expensive, long wine list. Noisy at dinner.",,,,,,,,
28,28,,,restaurants,wine-bar,Marylebone,,50 Wine Bar and Kitchen - good wine list and steakhouse style food options,,,,,,,,
delamina,Delamina,,,restaurants,restaurant,Marylebone,,good Mediterranean tapas,,,,,,,,
social-eating-house-street-xo,"Social Eating House, Street XO",,,restaurants,restaurant,Marylebone,,"mostly in Mayfair, although some close to Regent St.",,,,,,,,
blacklock,Blacklock,,,restaurants,restaurant,Soho,,"steakhouse. Open concept, very noisy.",,,,,,,,
the-orange,The Orange,,,restaurants,pub,Pimlico,,gastropub. Private room available.,,,,,,,,
cask,Cask,,,restaurants,restaurant,Pimlico,,mostly beer. A lot of government employees here,,,,,,,,
cadogan-arms,Cadogan Arms,,,restaurants,pub,Chelsea,,"upscale pub, private room downstairs that seats 30 or stands SO.",,,,,,,,
excellent-food-nice-ambiance,"Excellent food, nice ambiance",,,restaurants,restaurant,Chelsea,,,,,,,,,,
the-thomas-cubltt,The Thomas Cubltt,,,restaurants,pub,Belgravia,,gastropub. Seasonal menu. Private room available.,,,,,,,,
the-alfred-tennyson,The Alfred Tennyson,,,restaurants,restaurant,Belgravia,,"same as Thomas Cubitt, just a little fancier ambiance. Private",,,,,,,,
room-available,room available,,,restaurants,restaurant,Belgravia,,,,,,,,,,
bolsdale,Bolsdale,,,restaurants,pub,Belgravia,,(also locations in Mayfair and Canary Wharf): Jazz music dining spot. This,,,,,,,,
cancellation-policy-british-food,cancellation policy]. British food,,,restaurants,restaurant,Belgravia,,,,,,,,,,
heddon-street-kitchen-off-regent-street,Heddon Street Kitchen (off Regent Street),,,restaurants,restaurant,Belgravia,,Requires a credit card and must cancel at least 48,,,,,,,,
hours-prior-partial-cover-and-heating-if-it-rains-no-option,"hours prior. Partial cover and heating, if it rains, no option",,,restaurants,restaurant,Belgravia,,,,,,,,,,
morpeth-arms-oust-down-the-street-from-thames-house,Morpeth Arms Oust down the street from Thames House),,,restaurants,pub,Belgravia,,"Basic pub, not covered, but easy",,,,,,,,
spend,Spend],,,restaurants,restaurant,Belgravia,,,,,,,,,,
radio-rooftop,Radio Rooftop,,,restaurants,wine-bar,Belgravia,,(good rooftop bar with excellent cocktails and pretty good food),,,,,,,,
the-barbary,The Barbary,,,restaurants,wine-bar,Belgravia,,best meal in town!,,,,,,,,
berner-s-tavern,Berner's Tavern,,,restaurants,pub,Belgravia,,Expensive Mac & Cheese with brisket . . . Trust!,,,,,,,,
tandoor-chophouse,Tandoor Chophouse,,,restaurants,restaurant,Belgravia,,best black dahl [noisy],,,,,,,,
sheekey-s,Sheekey's,,,restaurants,restaurant,Belgravia,,really good fish,,,,,,,,
cinnamon-club,Cinnamon club,,,restaurants,pub,Belgravia,,in an old library. Excellent Indian. 4+ requires CC and 48 hours cancellation,,,,,,,,
notice,notice,,,restaurants,restaurant,Belgravia,,,,,,,,,,
temper-soho,Temper SoHo,,,restaurants,restaurant,Belgravia,,Meat eater's dream .. Cheese burger tacos. Also best G& T with orange and,,,,,,,,
nutmeg,nutmeg,,,restaurants,restaurant,Belgravia,,,,,,,,,,
nopi,Nopi,,,restaurants,restaurant,Belgravia,,"Ottolenghi restaurant, amazing mediterranean ta pas style place",,,,,,,,
rovi,Rovi,,,restaurants,restaurant,Belgravia,,"same as Nopi, just different menu",,,,,,,,
the-wolesley,The Wolesley,,,restaurants,cafe,Belgravia,,,,,,,,,,
