id,name,lat,lon,category,subcategory,neighborhood,address,summary,price_range,kid_friendly,visited,rating,website,google_maps_url,tags,notes
134-westbourne-terrace,134 Westbourne Terrace,,,attractions,landmark,,London United Kingdom,,,,,,,,source:Great Muppet Caper,
17-holland-park,17 Holland Park,,,attractions,landmark,,London W11 3TD United Kingdom,,,,,,,,source:Great Muppet Caper,
17-s-molton-st,17 S Molton St,,,attractions,landmark,,London W1K 5QT United Kingdom,,,,,,,,source:UK 2023,
1c-ducks-walk,1C Ducks Walk,,,attractions,landmark,,Twickenham TW1 2DD United Kingdom,,,,,,,,source:UK 2023,
221b-baker-st,221B Baker St,,,attractions,landmark,,London NW1 6XE United Kingdom,,,,,,,,source:UK 2023,
28,28,51.5335806,-0.1727021,restaurants,wine-bar,Marylebone,,50 Wine Bar and Kitchen - good wine list and steakhouse style food options,,,,,,,,
50-the-marlowes,50 The Marlowes,,,attractions,landmark,,London NW8 6NA United Kingdom,,,,,,,,source:UK 2023,
a-hefty-bill-1f-everyone-orders-the-fancy-steaks-no-private-room-but-can-seat-8,a hefty bill 1f everyone orders the fancy steaks. No private room but can seat 8,,,restaurants,restaurant,Piccadilly/Regent Street,,10 in the,,,,,,,,
abbey-road-pedestrian-crossing,Abbey Road Pedestrian Crossing,,,attractions,landmark,,,,,,,,,,source:UK Music,"Google rating: 4.6/5 (1,524 reviews)"
abbotsbury-swannery,Abbotsbury Swannery,,,attractions,landmark,,,,,,,,,,source:UK 2023,"Google rating: 4.7/5 (1,703 reviews)"
aberaeron,Aberaeron,,,attractions,landmark,,United Kingdom,,,,,,,,source:UK 2023,
admiral-s-walk,Admiral's Walk,,,attractions,landmark,,,,,,,,,,source:Great Muppet Caper,
afc-wimbledon,AFC Wimbledon,51.432154,-0.191093,attractions,football,London,,Football club in London,,true,,,,,sports|football,League Two (Level 4) Stadium: Cherry Red Records Stadium CLUB INFO: https://www.afcwimbledon.co.uk
ain-t-nothin-but,Ain't Nothin' But,,,restaurants,cocktail-bar,,,,$$,,,,,,source:Pubs,"Google rating: 4.6/5 (3,930 reviews)"
aldermaston,Aldermaston,,,wmd-sites,nuclear,Berkshire,,"The Atomic Weapons Establishment (AWE) at Aldermaston has been central to Britain's nuclear weapons program since the 1950s. Though closed to visitors, its historical significance is immense.",,,,,,,,
